| time |        A         |         B          | c1  |c2 |c3 |c4 |       out        |
| 0+   | 0001110100110110 |  1000101100101001  |   1 | 0 | 1 | 1 | 0000000000000000 |
| 1    | 0001110100110110 |  0000000000001111  |   1 | 0 | 1 | 1 | 0000000000000000 |
| 1+   | 0001110100110110 |  0000000000001111  |   1 | 0 | 0 | 0 | 0000001100101010 |
| 2    | 0001110100110110 |  0000000000001111  |   1 | 0 | 0 | 0 | 0000001100101010 |
| 2+   | 0001110100110110 |  0000000000001111  |   0 | 0 | 0 | 0 | 0000000000000110 |
| 3    | 0001110100110110 |  0000000000001111  |   0 | 0 | 0 | 0 | 0000000000000110 |
| 3+   | 0001110100110110 |  0000000000001111  |   0 | 0 | 0 | 1 | 0001110100111111 |
| 4    | 0001110100110110 |  0000000000001111  |   0 | 0 | 0 | 1 | 0001110100111111 |
| 4+   | 0001110100110110 |  0000000000001111  |   0 | 0 | 1 | 0 | 0001110100111001 |
| 5    | 0001110100110110 |  0000000000001111  |   0 | 0 | 1 | 0 | 0001110100111001 |
| 5+   | 0001110100110110 |  0000000000001111  |   0 | 0 | 1 | 1 | 0001110101000101 |
| 6    | 0001110100110110 |  0000000000001111  |   0 | 0 | 1 | 1 | 0001110101000101 |
| 6+   | 0001110100110110 |  0000000000001111  |   0 | 1 | 0 | 0 | 1110001011001001 |
| 7    | 0001110100110110 |  0000000000001111  |   0 | 1 | 0 | 0 | 1110001011001001 |
| 7+   | 0001110100110110 |  0000000000001111  |   0 | 1 | 0 | 1 | 1111111111110000 |
| 8    | 0001110100110110 |  0000000000001111  |   0 | 1 | 0 | 1 | 1111111111110000 |
| 8+   | 0001110100110110 |  0000000000001111  |   0 | 1 | 1 | 0 | 0001110100100111 |
| 9    | 0001110100110110 |  0000000000001111  |   0 | 1 | 1 | 0 | 0001110100100111 |
| 9+   | 0001110100110110 |  0000000000001111  |   0 | 1 | 1 | 1 | 1110001011011001 |
| 10   | 0001110100110110 |  0000000000001111  |   0 | 1 | 1 | 1 | 1110001011011001 |
| 10+  | 0001110100110110 |  0000000000001111  |   1 | 0 | 0 | 1 | 0011101001101100 |
| 11   | 0001110100110110 |  0000000000001111  |   1 | 0 | 0 | 1 | 0011101001101100 |
| 11+  | 0001110100110110 |  0000000000001111  |   1 | 0 | 1 | 0 | 0000000000000111 |
